"Microchip","dftd","Sex","age","Weight","Headwidth","year","TrapID"
"982000363022085",0,"Male",40,12,121,2015,"FNP080"
"982000363022085",0,"Male",54,12.8,127.3,2016,"FNP078"
"982000363022085",0,"Male",50,11.1,123.4,2016,"FNP077"
"982000363022118",1,"Female",25,5.9,101,2015,"FNP072"
"982000363022211",0,"Male",26,8.9,115,2015,"FNP043"
"982000363022381",0,"Male",39,10.4,107.7,2017,"FNP016"
"982000363022381",0,"Male",18,7.6,108.9,2015,"FNP006"
"982000363022381",0,"Male",14,6.6,104,2015,"FNP024"
"982000363022381",0,"Male",27,9.8,114,2016,"FNP007"
"982000363022381",1,"Male",46,8.6,117.9,2018,"FNP025"
"982000363022381",0,"Male",22,8.9,114.3,2016,"FNP006"
"982000363022416",0,"Female",14,5.1,96,2015,"FNP058"
"982000363022416",0,"Female",18,6,100.5,2015,"FNP057"
"982000363022471",0,"Male",28,10.2,120.4,2016,"FNP083"
"982000363022471",0,"Male",17,8,111.2,2015,"FNP083"
"982000363022471",0,"Male",14,7.3,108,2015,"FNP080"
"982000363022528",0,"Female",39,8.4,99,2017,"FNP015"
"982000363022528",0,"Female",29,7.8,107.3,2016,"FNP030"
"982000363022528",0,"Female",16,6,100,2015,"FNP016"
"982000363022528",0,"Female",14,6.2,97,2015,"FNP025"
"982000363022528",1,"Female",52,8.1,108.3,2018,"FNP023"
"982000363022528",0,"Female",43,7.2,110.4,2017,"FNP008"
"982000363022528",0,"Female",22,6.7,103.2,2016,"FNP023"
"982000363022673",0,"Male",14,7.2,107,2015,"FNP077"
"982000363022673",0,"Male",16,7,106,2015,"FNP032"
"982000363022673",0,"Male",17,8.3,109.1,2015,"FNP079"
"982000363022679",1,"Male",37,10.8,122,2015,"FNP069"
"982000363022784",0,"Female",43,8.2,110.3,2018,"FNP077"
"982000363022784",0,"Female",26,8,105.7,2017,"FNP080"
"982000363022784",0,"Female",14,5.6,91.9,2016,"FNP078"
"982000365112080",0,"Female",27,6.1,93.7,2017,"FNP032"
"982000365112089",0,"Female",16,6.5,98.9,2018,"FNP083"
"982000365112089",1,"Female",23,6.6,103.6,2019,"FNP083"
"982000365112139",0,"Male",19,8.9,109,2017,"FNP011"
"982000365112139",0,"Male",15,7.4,100.3,2017,"FNP006"
"982000365112164",0,"Female",15,5.4,93.3,2017,"FNP012"
"982000365112333",0,"Female",31,7.6,106.3,2018,"FNP027"
"982000365112333",0,"Female",22,8,101.2,2018,"FNP028"
"982000365112333",0,"Female",15,5.5,90.5,2017,"FNP025"
"982000365112333",0,"Female",36,8.9,108.1,2019,"FNP031"
"982000365112372",0,"Male",26,10,93.3,2017,"FNP072"
"982000365112372",0,"Male",58,10.8,120.2,2020,"FNP077"
"982000365112476",0,"Female",15,5.8,96,2017,"FNP028"
"982000365112553",0,"Female",17,6.8,102.2,2016,"FNP032"
"982000365112553",0,"Female",14,5.8,100.2,2016,"FNP037"
"982000365112595",0,"Female",46,8.6,107.8,2021,"FNP007"
"982000365112595",0,"Female",23,7,103.3,2019,"FNP024"
"982000365112595",0,"Female",34,7.1,105.5,2020,"FNP023"
"982000365112595",0,"Female",40,8.2,109,2020,"FNP009"
"982000365112595",0,"Female",43,7.9,104.7,2020,"FNP006"
"982000365112595",0,"Female",32,6.5,101.2,2019,"FNP015"
"982000365112595",0,"Female",19,6.6,100,2018,"FNP011"
"982000365112642",1,"Male",17,9,113.8,2016,"FNP057"
"982000365112743",1,"Male",31,8,103.5,2017,"FNP072"
"982000365112750",1,"Female",20,6,102,2016,"FNP112"
"982000365112768",1,"Male",25,10.6,119.1,2018,"FNP077"
"982000365112768",0,"Male",19,7.7,109.6,2017,"FNP082"
"982000365118025",0,"Female",19,6.3,101,2017,"FNP104"
"982000365118025",0,"Female",22,7.2,101.4,2018,"FNP101"
"982000365118025",0,"Female",14,4.8,92.3,2017,"FNP104"
"982000365118281",0,"Male",14,5.7,96.4,2017,"FNP026"
"982000365118281",0,"Male",19,8.4,108.2,2017,"FNP015"
