"Microchip","Weight","Headwidth","age","Sex","Fhat3","year","TrapID"
"982009102520507",8,108.3,27,"Female",-0.128285,2005,"FNP021"
"982009102520507",5.59,104.5,32,"Female",-0.128285,2005,"FNP015"
"982009102525143",7.2,101.4,15,"Male",-0.0781295,2005,"97"
"982009102525143",9.1,116.4,24,"Male",-0.0781295,2006,"FNP032"
"982009102525143",7.5,112.9,20,"Male",-0.0781295,2005,"FNP173"
"982009104234846",5,93,14,"Female",-0.0557826,2007,"FNP117"
"982009104273860",7,106,24,"Female",0.0914706,2008,"FNP087"
"982009104273860",8.5,103.5,27,"Female",0.0914706,2008,"FNP086"
"982009104273860",5,97,15,"Female",0.0914706,2007,"FNP087"
"982009104278039",7,105,24,"Female",-0.0024122,2008,"FNP086"
"982009104326007",4,93,15,"Female",-0.0572008,2007,"FNP162"
"982009104330280",6,103,24,"Female",-0.135313,2008,"FNP119"
"982009104330280",5.19,96.59,14,"Female",-0.135313,2007,"FNP117"
"982009104330280",5,97,14,"Female",-0.135313,2007,"FNP117"
"982009104330365",6,102,14,"Male",-0.0120523,2007,"FNP123"
"982009104330365",5.8,102.1,14,"Male",-0.0120523,2007,"FNP123"
"982009104330365",10,117.5,27,"Male",-0.0120523,2008,"FNP118"
"982009104335482",6,100,15,"Male",-0.0978631,2007,"FNP030"
"982009104353469",4,89,14,"Female",0.00311264,2007,"FNP087"
"982009104353469",5,99,24,"Female",0.00311264,2008,"FNP039"
"982009104353469",5,102,25,"Female",0.00311264,2008,"FNP147"
"982009104355375",7,108,24,"Female",0.0370356,2008,"FNP034"
"982009104355375",4,94,15,"Female",0.0370356,2007,"FNP158"
"982009104818981",9,112,30,"Male",-0.0395951,2013,"FNP073"
"982009104822380",7.7,111,16,"Male",-0.0631846,2011,"FNP103"
"982009104822380",10.1,121,29,"Male",-0.0631846,2012,"FNP102"
"982009104858173",7,110,16,"Male",0.0149884,2011,"FNP039"
"982009104862184",5.3,102.6,21,"Female",-0.1129,2007,"FNP084"
"982009104863360",5.8,102,16,"Female",0.0384031,2011,"FNP085"
"982009104874367",7.5,109,16,"Male",-0.0708901,2011,"FNP034"
"982009104875191",7,98,17,"Female",-0.0401442,2010,"FNP121"
"982009104875191",7,98,17,"Female",-0.0401442,2010,"FNP122"
"982009104887392",8,108,27,"Male",-0.0986907,2008,"FNP121"
"982009104887392",7,102,24,"Male",-0.0986907,2008,"FNP117"
"982009104887392",8,108,27,"Male",-0.0986907,2008,"FNP122"
"982009104938840",6,100,18,"Female",-0.0660561,2013,"FNP091"
"982009104963246",7,105,24,"Male",-0.0112863,2007,"FNP094"
"982009104963246",6.3,104,21,"Male",-0.0112863,2007,"FNP090"
"982009104963246",7,106,26,"Male",-0.0112863,2007,"FNP103"
"982009104968600",7,100,17,"Male",-0.00959081,2010,"FNP122"
"982009104968600",7,100,17,"Male",-0.00959081,2010,"FNP121"
"982009105154468",9,113.8,27,"Male",-0.0972591,2008,"FNP101"
"982009105154468",8,117,24,"Male",-0.0972591,2008,"FNP094"
"982009105154468",6,96,14,"Male",-0.0972591,2007,"FNP101"
"982009105155361",8.8,108,14,"Male",-0.0263727,2008,"FNP037"
"982009105160547",6,99,14,"Female",-0.0323494,2007,"FNP125"
"982009105164113",7,107,14,"Male",0.0689298,2007,"FNP101"
"982009105164994",7.59,106,15,"Female",-0.0716885,2008,"FNP093"
"982009105166817",4,88,15,"Female",-0.0674882,2007,"FNP039"
"982009105172734",6.8,106.1,15,"Male",-0.0235342,2008,"FNP093"
"982009105174487",5.59,94.69,15,"Female",-0.115345,2008,"FNP195"
"982009105175414",5,100,26,"Female",-0.106181,2007,"FNP125"
"982009105185038",4.8,92.5,15,"Male",0.28245,2008,"FNP114"
"982009105185813",5,90.59,15,"Female",-0.0800935,2008,"FNP096"
"982009105188074",6.5,107.1,26,"Male",-0.0986279,2008,"FNP039"
"982009105188074",7,109,24,"Male",-0.0986279,2008,"FNP173"
"982009105188074",5,99,14,"Male",-0.0986279,2007,"FNP039"
"982009105195861",5.59,95.8,15,"Female",-0.135894,2008,"FNP109"
"982009105198274",7.3,102.4,15,"Male",-0.127391,2008,"FNP160"
"982009105363992",7,106,24,"Male",0.11792,2008,"FNP006"
"982009105363992",5,99,15,"Male",0.11792,2007,"FNP006"
"982009105384803",7,109,14,"Male",-0.121871,2007,"FNP096"
"982009105830109",5.7,102,16,"Female",-0.0564642,2011,"FNP033"
"982009106188942",7,101,14,"Male",-0.0739019,2009,"FNP119"
"982009106218282",6.3,105,16,"Female",0.0208946,2011,"FNP034"
"982009106392944",6,100,17,"Female",-0.0219748,2010,"FNP120"
"982009106392944",5.8,110,28,"Female",-0.0219748,2011,"FNP116"
"982009106410482",7.8,111,16,"Male",-0.00422206,2011,"FNP116"
"982009106494080",8.4,102,30,"Male",-0.0682818,2013,"FNP070"
"982009106498545",6,102,17,"Female",0.00598115,2010,"FNP122"
"982009106498545",6,102,17,"Female",0.00598115,2010,"FNP121"
"982009106502994",10,125,28,"Male",-0.0734769,2011,"FNP023"
"982009106502994",8,106,17,"Male",-0.0734769,2010,"FNP123"
"982009106518955",9.3,113,28,"Male",-0.0820597,2011,"FNP118"
"982009106523368",8,108,17,"Male",-0.0560136,2010,"FNP096"
"982009106525696",8,105,17,"Male",-0.0341378,2010,"FNP092"
"982009106606059",9,114,17,"Male",-0.00270195,2010,"FNP121"
"982009106606059",9,114,17,"Male",-0.00270195,2010,"FNP122"
"985120015476925",5,100.4,32,"Female",-0.0916277,2005,"FNP001"
"985120015476925",5.3,102.5,27,"Female",-0.0916277,2005,"FNP026"
"985120015476925",6.3,106,39,"Female",-0.0916277,2006,"FNP001"
"985120015476925",2.79,85.19,14,"Female",-0.0916277,2004,"FNP002"
"985120015476925",4.9,88,19,"Female",-0.0916277,2004,"FNP001"
"985120015476925",4.59,103.9,36,"Female",-0.0916277,2006,"FNP002"
"985120015995852",6.3,100.5,19,"Female",-0.0944365,2004,"FNP040"
"985120015997480",8.9,116.1,27,"Female",-0.093487,2005,"FNP021"
"985120015997480",5.7,104.5,19,"Female",-0.093487,2004,"FNP039"
"985120015999193",5.7,106.8,19,"Female",0.0826125,2004,"FNP122"
